FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;;;;
010101;0000;;;;
020101;0000;;;;
030101;0000;;;;
040101;0000;;;;
050101;0000;;;;
060101;0000;;;;
070101;0000;;;;
080101;0000;;;;
090101;0000;;;;
100101;0000;;;;
110101;0000;;;;
120101;0000;;;;
130101;0000;;;;
140101;0000;15,1743;;;
150101;0000;13,3505;;;
160101;0000;11,3229;;;
170101;0000;11,8673;;;
180101;0000;12,4847;;;
190101;0000;11,1881;;;
200101;0000;11,8139;;;
210101;0000;11,4318;;;
220101;0000;11,6272;;;
230101;0000;10,5964;;;
240101;0000;9,88122;;;
250101;0000;12,0549;;;
260101;0000;15,6321;;;
