FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;30,6948;;;
100101;0000;29,4291;;;
110101;0000;30,3168;;;
120101;0000;28,7055;;;
130101;0000;26,87;;;
140101;0000;32,7209;;;
150101;0000;34,1387;;;
160101;0000;33,3684;;;
170101;0000;29,7784;;;
180101;0000;31,8367;;;
190101;0000;30,4553;;;
200101;0000;27,6519;;;
210101;0000;29,1337;;;
220101;0000;28,3838;;;
230101;0000;26,4477;;;
240101;0000;24,8535;;;
250101;0000;24,4706;;;
260101;0000;;24,8916;;
