FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;35,6228;;;
010101;0000;34,7611;;;
020101;0000;32,308;;;
030101;0000;34,32;;;
040101;0000;36,3698;;;
050101;0000;33,4657;;;
060101;0000;34,5279;;;
070101;0000;34,1101;;;
080101;0000;35,2162;;;
090101;0000;29,6497;;;
100101;0000;26,1945;;;
110101;0000;26,5002;;;
120101;0000;25,3876;;;
130101;0000;;40,3873;27,6976;
140101;0000;29,3159;;;
150101;0000;30,7086;;;
160101;0000;29,3968;;;
170101;0000;25,2678;28,2643;;
180101;0000;25,0843;;;
190101;0000;25,2245;;;
200101;0000;21,0514;;;
210101;0000;23,9239;;;
220101;0000;25,7085;;;
230101;0000;24,4384;;;
240101;0000;21,764;;;
250101;0000;22,9178;;;
260101;0000;;24,1576;;
