FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;27,9561;;;
010101;0000;25,6966;;;
020101;0000;24,9666;;;
030101;0000;27,525;;;
040101;0000;25,6611;;;
050101;0000;26,5869;;;
060101;0000;24,7897;;;
070101;0000;25,7562;;;
080101;0000;22,0153;;;
090101;0000;23,0813;;;
100101;0000;20,5545;;;
110101;0000;20,5149;;;
120101;0000;19,721;;;
130101;0000;21,5944;;;
140101;0000;23,3206;;;
150101;0000;25,1885;;;
160101;0000;26,2681;;;
170101;0000;21,6503;;;
180101;0000;21,6982;;;
190101;0000;20,0424;;;
200101;0000;15,5156;;;
210101;0000;18,1218;;;
220101;0000;18,6629;;;
230101;0000;19,1185;;;
240101;0000;17,513;;;
250101;0000;18,0311;;;
260101;0000;;22,663;;
