FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;35,3777;;;
010101;0000;37,3451;;;
020101;0000;35,314;;;
030101;0000;39,9986;;;
040101;0000;35,1783;;;
050101;0000;32,4841;;;
060101;0000;34,0656;;;
070101;0000;34,0502;;;
080101;0000;32,3218;;;
090101;0000;29,7331;;;
100101;0000;26,3261;;;
110101;0000;26,9505;;;
120101;0000;26,3731;;;
130101;0000;28,0673;;;
140101;0000;23,0561;;;
150101;0000;31,7675;;;
160101;0000;28,6074;;;
170101;0000;27,1325;;;
180101;0000;26,2414;;;
190101;0000;25,6564;;;
200101;0000;21,2833;;;
210101;0000;23,0567;;;
220101;0000;23,6741;;;
230101;0000;22,9127;;;
240101;0000;20,2283;;;
250101;0000;21,1045;;;
260101;0000;;24,1905;;
