FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;33,2924;;;
010101;0000;25,0151;;;
020101;0000;34,3918;;;
030101;0000;36,3987;;;
040101;0000;33,7163;;;
050101;0000;30,7048;;;
060101;0000;32,9745;;;
070101;0000;32,8777;;;
080101;0000;34,5083;;;
090101;0000;28,9841;;;
100101;0000;27,7896;;;
110101;0000;27,5924;;;
120101;0000;26,389;;;
130101;0000;24,4609;;;
140101;0000;29,5471;;;
150101;0000;34,0506;;;
160101;0000;32,1718;;;
170101;0000;29,6787;;;
180101;0000;26,858;;;
190101;0000;27,2824;;;
200101;0000;24,1818;;;
210101;0000;27,1705;;;
220101;0000;25,1031;;;
230101;0000;25,0938;;;
240101;0000;23,5816;;;
250101;0000;22,9244;;;
260101;0000;;25,4121;;
