FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;26,2173;;;
100101;0000;24,0798;;;
110101;0000;23,0019;;;
120101;0000;27,8701;;;
130101;0000;35,1279;;;
140101;0000;26,6921;;;
150101;0000;28,5156;;;
160101;0000;26,0788;;;
170101;0000;23,5928;;;
180101;0000;21,5947;;;
190101;0000;21,3816;;;
200101;0000;21,8975;;;
210101;0000;22,3212;;;
220101;0000;21,6836;;;
230101;0000;21,0938;;;
240101;0000;19,6833;;;
250101;0000;21,6975;;;
260101;0000;;21,7143;;
