METROPOLITANA;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Cerrillos II;;;;;;;;;;;;;;;;;;;;;;;;25,0057;23,8715;24,6583;
Cerrillos I;;;;;;;;;;28,0879;29,3708;31,8094;25,0329;26,3998;31,3855;33,7529;31,2364;;;;;;;;;;
Cerro Navia;;;;;;;;;;30,6948;29,4291;30,3168;28,7055;26,87;32,7209;34,1387;33,3684;29,7784;31,8367;30,4553;27,6519;29,1337;28,3838;26,4477;24,8535;24,4706;
El Bosque;;;;;;;;;;31,1265;27,7716;28,982;27,7027;29,1529;32,7754;34,6024;34,9346;32,7564;30,957;28,3772;26,547;30,1384;28,625;28,1125;26,2126;;
Independencia;;;;;;;;;;28,5137;25,2132;24,9465;23,3169;24,5368;29,0841;31,0029;29,1038;28,0857;27,0458;25,7847;22,4333;28,9086;;;;;
La Florida;35,6228;34,7611;32,308;34,32;36,3698;33,4657;34,5279;34,1101;35,2162;29,6497;26,1945;26,5002;25,3876;27,6976;29,3159;30,7086;29,3968;25,2678;25,0843;25,2245;21,0514;23,9239;25,7085;24,4384;21,764;22,9178;24,1576
Las Condes;27,9561;25,6966;24,9666;27,525;25,6611;26,5869;24,7897;25,7562;22,0153;23,0813;20,5545;20,5149;19,721;21,5944;23,3206;25,1885;26,2681;21,6503;21,6982;20,0424;15,5156;18,1218;18,6629;19,1185;17,513;18,0311;
Pudahuel;33,2924;25,0151;34,3918;36,3987;33,7163;30,7048;32,9745;32,8777;34,5083;28,9841;27,7896;27,5924;26,389;24,4609;29,5471;34,0506;32,1718;29,6787;26,858;27,2824;24,1818;27,1705;25,1031;25,0938;23,5816;22,9244;25,4121
Puente Alto ;;;;;;;;;;26,2173;24,0798;23,0019;27,8701;35,1279;26,6921;28,5156;26,0788;23,5928;21,5947;21,3816;21,8975;22,3212;21,6836;21,0938;19,6833;21,6975;21,7143
Quilicura ;;;;;;;;;;;;;;;;;;27,0659;24,7923;24,3757;22,6397;25,3922;24,7837;22,8282;20,8239;21,3567;23,0178
Quilicura I;;;;;;;;;;28,1547;27,4181;25,6904;24,3623;24,8953;28,8672;30,301;24,6518;;;;;;;;;;
Parque O'Higgs ;35,3777;37,3451;35,314;39,9986;35,1783;32,4841;34,0656;34,0502;32,3218;29,7331;26,3261;26,9505;26,3731;26,3731;23,0561;31,7675;28,6074;27,1325;26,2414;25,6564;21,2833;23,0567;23,6741;22,9127;20,2283;21,1045;24,1905
Talagante;;;;;;;;;;21,8242;20,0755;22,1625;21,4479;20,8943;20,0218;27,3409;24,7003;24,182;20,7764;21,7353;;27,797;23,7232;21,6182;19,7247;21,1536;
