VALPARAÍSO;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;PROMEDIO
Concón MMA;;;;;;;;;;;;;;;;;;;16,0169;14,3428;14,3989;13,325;14,1727;12,5142;13,1836;;12,2659;
Concón;;;;;17,7459;15,157;19,0248;18,6572;15,9487;16,754;15,7705;20,9344;;;;;18,2853;18,2027;17,8991;14,0087;10,226;12,3694;13,3764;12,0815;12,0058;16,4006;17,891;
Puchuncaví;;;;;;;;;;;;;;;;;;14,764;14,687;14,3611;14,2188;14,6034;15,5856;14,4876;15,7106;17,6348;17,2531;
La Greda ;;;;;;;;;;;;;;18,1255;15,2499;13,2751;16,4261;13,076;16,1739;15,1671;14,4789;16,3818;15,511;14,7527;15,2818;15,6925;15,4012;
Los Maitenes;;;;;;;;;;;;;;13,2468;12,0398;12,9504;16,5644;12,5449;12,9268;12,7119;11,2244;12,0118;11,4429;13,5988;12,6524;13,0176;13,8929;
Ventanas;;;;;;;;;;;;;;16,9408;15,0735;17,9486;17,5757;14,0187;14,624;15,7933;13,5868;16,273;14,6516;18,2365;18,429;17,318;13,8941;
Cuerpo de Bomberos ;;;;;;;;;;;;;;;;;;;;;21,0165;19,3453;16,8146;16,1582;17,0816;14,2836;17,0339;
La Palma ;;;;;;;;;;;;;;;;;;;;;;;;;;10,5541;14,4132;
San Pedro ;;;;;;;;;;;;;;;;;;;;;16,9253;17,1042;17,0028;16,7723;18,7143;14,0951;15,3478;
Quilpue;;;;;;;;;;;;;;;17,5213;17,3635;21,8618;;;;;;;;;;;
Quilpue Gimnasio ;;;;;;;;;;;;;;;;;;;;;;;;;15,45;16,1927;9,10084;
Centro Quintero;;;;;;;;;;;;;;;;;;;;;20,4727;20,8274;18,7824;17,3863;15,6301;12,7555;21,284;
Loncura ;;;;;;;;;;;;;;;;;17,7918;15,9917;17,6616;;15,7437;14,8244;12,0338;11,2337;11,3798;12,5826;14,2515;
Quintero;;;;;;;;;;;;;;;;;;14,2515;15,9094;16,2584;16,2472;16,0255;13,3277;12,7514;15,2645;14,2901;13,4767;
Valparaíso;;;;;;;;;;;;;;;15,703;16,7684;15,2134;14,502;14,5983;13,7562;12,9136;14,2348;13,8389;14,9692;11,1679;12,1988;10,1513;
Viña del Mar ;;;;;;;;;;23,5225;21,2623;;13,2776;;12,5263;16,8182;20,2042;12,0442;12,5726;14,1171;12,4615;14,4871;13,3077;14,47;12,1796;10,339;12,6936;
