FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;;;;
060101;0000;;;;
070101;0000;;;;
080101;0000;;;;
090101;0000;;;;
100101;0000;;;;
110101;0000;;;;
120101;0000;;;;
130101;0000;;;;
140101;0000;11,3794;;;
150101;0000;11,0118;;;
160101;0000;9,18212;;;
170101;0000;9,71566;;;
180101;0000;11,2067;;;
190101;0000;9,27714;;;
200101;0000;8,70308;;;
210101;0000;8,77654;;;
220101;0000;7,49441;;;
230101;0000;7,34819;;;
240101;0000;5,87535;;;
250101;0000;5,8087;;;
260101;0000;7,15929;;;
