FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;;42,3941;;
100101;0000;;34,3193;;
110101;0000;;47,5767;;
120101;0000;;50,7588;;
130101;0000;40,2548;;;
140101;0000;31,515;;;
150101;0000;30,1033;;;
160101;0000;33,8592;;;
170101;0000;27,308;;;
180101;0000;33,9887;;;
190101;0000;23,1317;;;
200101;0000;25,514;;;
210101;0000;26,0641;;;
220101;0000;25,6214;;;
230101;0000;21,2952;;;
240101;0000;24,2213;;;
250101;0000;22,4138;;;
260101;0000;;35,7426;;
