FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;;39,691;;
100101;0000;;68,0864;;
110101;0000;;44,4948;;
120101;0000;;37,6202;;
130101;0000;32,2177;;;
140101;0000;28,747;;;
150101;0000;37,9267;;;
160101;0000;40,9424;;;
170101;0000;33,5852;;;
180101;0000;37,6554;;;
190101;0000;29,9803;;;
200101;0000;29,6713;;;
210101;0000;26,7082;;;
220101;0000;28,9593;;;
230101;0000;26,0562;;;
240101;0000;23,5125;;;
250101;0000;19,3333;;;
260101;0000;;21,3393;;
