FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;;46,7219;;
060101;0000;;34,3275;;
070101;0000;;41,48;;
080101;0000;;44,68;;
090101;0000;;;;
100101;0000;;;;
110101;0000;;;;
120101;0000;;;;
130101;0000;42,0188;;;
140101;0000;32,6537;;;
150101;0000;31,976;;;
160101;0000;29,2867;;;
170101;0000;24,5158;;;
180101;0000;28,3324;;;
190101;0000;23,9831;;;
200101;0000;26,351;;;
210101;0000;30,0693;;;
220101;0000;24,3;;;
230101;0000;24,5457;;;
240101;0000;24,2873;;;
250101;0000;22,1806;;;
260101;0000;;37,45;;
