FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;;48,6816;26,0415;
100101;0000;;;;
110101;0000;;45,4346;;
120101;0000;;36,1749;;
130101;0000;37,821;;;
140101;0000;28,0616;;;
150101;0000;24,2589;;;
160101;0000;24,3814;;;
170101;0000;23,5837;;;
180101;0000;21,7429;;;
190101;0000;24,7898;;;
200101;0000;23,1662;;;
210101;0000;26,2655;;;
220101;0000;25,0028;;;
230101;0000;24,5897;;;
240101;0000;21,2479;;;
250101;0000;20,9155;;;
260101;0000;14,1589;;;
