FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040101;0000;;17,7459;;
050101;0000;;15,157;;
060101;0000;;19,0248;;
070101;0000;;18,6572;;
080101;0000;;15,9487;;
090101;0000;;16,754;;
100101;0000;;15,7705;;
110101;0000;;20,9344;;
120101;0000;;;;
130101;0000;;;;
140101;0000;;;;
150101;0000;;;;
160101;0000;;;18,2853;
170101;0000;;;18,2027;
180101;0000;;;17,8991;
190101;0000;;;14,0087;
200101;0000;;;10,226;
210101;0000;;;12,3694;
220101;0000;;;13,3764;
230101;0000;;;12,0815;
240101;0000;;;12,0058;
250101;0000;;;16,4006;
260101;0000;;;17,891;
