FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;;23,5225;;
100101;0000;;21,2623;;
110101;0000;;;;
120101;0000;;13,2776;;
130101;0000;;;;
140101;0000;12,5263;;;
150101;0000;16,8182;20,9453;;
160101;0000;20,2042;;;
170101;0000;12,0442;;;
180101;0000;12,5726;;;
190101;0000;14,1171;;;
200101;0000;12,4615;;;
210101;0000;14,4871;;;
220101;0000;13,3077;;;
230101;0000;14,47;7,40458;;
240101;0000;;12,1796;;
250101;0000;;10,339;;
260101;0000;;12,6936;;
