Estación ;Comuna;primer ingreso;PM2,5 primer año;último ingreso;PM2,5 último ingreso;Dirección ;
1. Cerrillos II;Cerillos;22-04-22;15;03-05-26;26;Av. Departamental 1500, Cerrillos;
2. Cerrillos I;Cerillos;01-01-09;23,9167;01-10-17;9,66667;Av. Pedro Aguirre Cerda 6100, Cerrillos;
3. Cerro Navia;Cerro Navia;01-01-09;22,2609;05-05-26;24;Av. José Joaquín Pérez 7200, Cerro Navia;
4. El Bosque;El Bosque ;01-01-09;25,7083;03-10-25;17;Av. Padre Hurtado 1450, El Bosque;
5. Independencia ;Independencia ;01-01-09;29,625;29-07-21;52;Av. Independencia 753, Independencia;
6. La Florida ;La Florida ;01-01-00;24,2917;05-05-26;25;Av. Vicuña Mackenna 6100, La Florida;
7. La Pintana ;La Pintana;-;-;-;-; Av. Santa Rosa 11500, La Pintana;
8. Las Condes;Las Condes ;01-01-00;22,0833;05-05-26;15;Av. Apoquindo 9071, Las Condes;
9. Pudahuel;Pudahuel;01-01-00;19,5833;05-05-26;26;Av. Teniente Cruz 7500, Pudahuel;
10. Puente Alto;Puente Alto;21-05-08;2,7375;05-05-26;17;Av. Concha y Toro 3500, Puente Alto;
11. Quilicura;Quilicura;22-04-16;46,2829;05-05-26;18;Av. Lo Marcoleta 2500, Quilicura;
12. Quilicura I;Quilicura;01-01-09;23,7917;19-05-16;50,5833;Sector Lo Echevers / Panamericana Norte, Quilicura;
13. Parque Ohiggins ;Santiago ;01-01-00;15,3333;05-05-26;23;Av. Matta 1040, Santiago;
14. Talagante ;Talagante;01-01-09;14,4583;05-05-26;19;Av. Bernardo O’Higgins 1150, Talagante;
